,cluster_id,momentum
BRKL,225,0.038996138996139
BRKR,1743,0.0514831717056474
BRO,1933,-0.013344739093242
BRX,122,-0.0131746706332342
BRY,1788,-0.0304347826086955
BSAC,220,0.0212891780011827
NEWT,1982,0.1141011840688912
SSTI,1110,-0.0319066147859921
BSET,1785,-0.0286458333333333
BSRR,110,0.0246913580246912
SSTK,1103,0.0107612594659227
NG,2010,-0.0760697305863707
NNI,1725,-0.0079589485810031
NNN,19,-0.0092925026399156
TCBK,45,0.0110781404549951
BTI,250,-0.0088334632372045
BUD,250,-0.0243821529275169
RNST,126,0.0505902192242835
BURL,1147,-0.0082234695209503
BUSE,125,0.0406367825722664
BW,1727,0.0090361445783133
BWA,2033,0.0666243654822333
HD,210,-0.019187463367986
MD,1489,0.088599348534202
BWB,8,-0.0392030848329049
MDB,69,-0.0050417814294384
TCBI,1715,0.0010594823671863
NOK,1261,0.0021008403361344
AMPH,1106,0.0703899537343026
BWXT,1417,-0.0054222806441012
BXC,1193,0.0422713660446902
STGW,1463,0.0142450142450143
BZH,1396,-0.0983506414172267
CABO,494,-0.0425975346295589
CADE,1895,0.0742767787333855
CAE,1422,0.032300884955752
CAG,28,-0.0209733799408443
CAH,1707,0.0198058252427184
CAJ,1797,-0.0139639639639639
CAKE,124,0.021656050955414
CAL,1867,-0.0026902382782475
FSV,1307,-0.006997900629811
FTCH,1925,-0.2434017595307918
CALM,1596,0.0723523243621111
CAR,1501,0.2039592081583683
IIIN,1909,-0.0086695565188394
CASS,1044,0.0422158154859966
NEO,1687,0.1708754208754208
CATY,43,0.0200181983621474
CB,160,-0.0742010637830233
BP,1246,0.1150738367233212
CBD,1289,-0.1728395061728395
NEM,118,-0.1418855091630455
NOMD,1566,-0.0011242270938729
CBRE,1877,0.0380072506139632
NOTV,1851,0.0234482758620688
CBRL,1218,-0.0089621796020792
CCB,1295,0.0181738559229251
CCBG,498,0.0594394825993225
CCEP,1856,0.0001778726431873
CCF,230,0.0347531256622166
CCI,279,-0.0501654175950307
CCJ,1125,0.0278471974294893
CCK,1309,-0.0156533575317603
CCL,204,0.043438077634011
CCNE,21,0.013681592039801
NOV,84,-0.1133387888707037
CCOI,1771,-0.0078751640659179
CCRN,1963,-0.0774774774774774
CCS,404,-0.0199346405228759
MED,158,0.0346343651861822
FWONA,441,-0.0091080402010049
FWONK,441,-0.0111581920903953
FWRD,1381,-0.0042651831247101
FTDR,1095,0.0452538631346579
CCU,250,0.0096092248558616
CDAY,1799,0.0370780298837851
CDLX,1605,-0.124
CDNA,1582,0.0441767068273093
CDNS,167,0.0635016135207569
CDW,1955,0.0913125542008876
CDXS,1471,-0.0682926829268292
CDZI,1745,0.04
CE,1219,-0.0292292619203135
NPK,1861,0.0009137188356611
CEIX,1900,-0.0488536155202822
CELH,1465,-0.0546251993620413
CENT,216,0.0278969957081545
CEQP,25,-0.005718642775448
CERS,1182,-0.0445859872611464
CEVA,1826,-0.0033212560386473
CF,1990,-0.0232475388447397
NPO,1174,-0.0120591393408771
MEI,1317,0.0404273146208629
MELI,494,-0.068393571918185
BMY,255,-0.0211975223675155
MET,1748,0.0005517241379311
META,32,0.1605021145197018
NSSC,1418,0.1287538833275803
GATX,1607,-0.0334643949322848
MG,1406,0.0433962264150944
MGA,1563,-0.1284262396057899
BMRN,1473,-0.0610316428261811
BMRC,14,-0.0046311610982467
TAL,104,-0.0177838577291381
AMRK,1335,-0.1581818181818183
BMO,33,-0.003279014308426
BMI,1503,0.0378774805867125
NTCT,1441,-0.066355140186916
NTGR,1447,-0.0370555833750625
NTLA,1901,-0.0485391140433552
NTRS,112,-0.0026812416211199
STKL,1579,-0.0550795593635251
STKS,1939,0.2031872509960159
STLA,1973,0.0998727735368956
STLD,70,0.0358919098143235
CFR,1917,0.0078292907583665
STM,64,0.0406607369758578
CG,2025,-0.0258548790658882
CGNX,1159,-0.1205699671172817
GCO,1850,-0.0298198384758748
MGEE,235,-0.0147722609766105
HMC,102,0.0290088638195002
ANGO,1385,0.0184331797235022
MGIC,1254,-0.0018450184501845
MGM,116,0.0519198261289544
MGNI,1809,0.1390728476821192
MGNX,1493,0.1455805892547661
MGPI,1058,0.0008201763379125
MGRC,1164,0.0745428973277073
ANIK,1379,-0.0141889712995808
MHO,404,-0.0459866220735786
BLX,1633,-0.0098665118978527
MIDD,1409,-0.0023158571888065
STRA,1735,0.00878414568827
CHGG,1435,-0.2119460500963391
CHH,1922,-0.0003254943445357
CHRS,1440,-0.080188679245283
CHRW,1376,0.0099830288509534
CHS,1491,-0.0189753320683111
STRL,1047,0.0524869469634514
STRO,1783,-0.1408839779005525
BLMN,40,0.1344329896907217
CHT,58,0.0118758434547909
CHTR,141,0.0294293669173324
CHUY,2,0.0762489044697636
CIB,220,-0.1153719008264462
CIEN,1991,-0.082083813917724
TAP,250,-0.0106504374286799
BLKB,1415,-0.0578685098858704
CIGI,1739,0.1033003915718813
CIM,233,-0.0452674897119341
CINF,1747,0.1226690234202385
CIO,1213,-0.0670731707317073
CIR,1576,-0.0325497287522603
CL,28,-0.0001341741580572
CLBK,48,0.0433249370277077
CLDX,227,-0.0236041761234679
CLF,214,-0.0716627634660421
CLFD,1835,-0.1406381192275398
STT,1782,0.0073360341618307
STWD,13,-0.0315940641455241
NUS,1947,0.0202891791044774
OFLX,1969,0.1815616180620884
STX,1486,0.0365889642962526
WMT,28,0.0178633488566066
CLNE,1827,0.0053003533568904
NVEC,1769,0.0366405928365582
NVEE,1757,-0.0343611673793982
MLR,1834,-0.0010341261633919
BLFS,2055,0.0081058020477815
MMC,3,-0.0484249042364645
CLS,1442,-0.0120030007501875
MMI,1030,-0.009933774834437
NVAX,1207,-0.081576535288726
CMA,1869,-0.0058655026599373
BLDR,1677,0.0223337515683814
CMCM,298,0.0772058823529411
CMCO,1390,0.0610367892976588
CMCSA,1940,-0.0058449809402796
CME,1594,0.0678138797690477
MMM,1630,-0.0050193730186686
BLD,176,-0.0057482755173448
BLBD,1485,0.3972413793103448
MMP,1853,0.0181436210847976
NVCR,1285,-0.0706295240184252
BKU,1578,-0.0225823591923486
